film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,month,quarter,day,year
1483,266,245700000,1638,0,7,26.15,150000.0,1638,6263.862332695985,4,2,1,2018
1483,73,230760000,1931,0,9,70.35,119502.8482651476,1931,2744.847192608386,4,2,1,2018
1483,352,195500000,1319,0,9,56.85,148218.34723275207,1319,2320.14072119613,4,2,1,2018
1483,489,191980000,1371,4,33,69.65,140029.1757840992,1367,1968.4134960516867,4,2,1,2018
1483,72,191760000,1608,0,8,52.89,119253.73134328358,1608,3040.272263187748,4,2,1,2018
1483,344,188100000,1256,0,7,68.11,149761.1464968153,1256,1844.075759800323,4,2,1,2018
1483,141,155400000,1044,0,5,77.62,148850.5747126437,1044,1345.0141716052565,4,2,1,2018
1483,452,144750000,965,0,6,82.48,150000.0,965,1169.980601357905,4,2,1,2018
1483,450,134850000,916,0,6,76.97,147216.15720524016,916,1190.0740548265558,4,2,1,2018
1483,183,131840000,1648,0,7,50.09,80000.0,1648,3290.0778598522656,4,2,1,2018
1483,513,126750000,1273,0,9,61.11,99567.94972505892,1273,2083.1287841597123,4,2,1,2018
1483,163,124830000,940,0,6,58.02,132797.87234042553,940,1620.1309893140294,4,2,1,2018
1483,71,124800000,841,1,3,99.76,148394.7681331748,840,843.0232558139535,4,2,1,2018
1483,195,123280000,1541,0,12,37.77,80000.0,1541,4079.957638337304,4,2,1,2018
1483,51,50000000,508,0,4,21.86,98425.1968503937,508,2323.8792314730103,4,2,1,2018
1483,259,50000000,625,0,3,65.51,80000.0,625,954.0528163639136,4,2,1,2018
1483,417,53870000,551,0,5,36.49,97767.6950998185,551,1510.002740476843,4,2,1,2018
1483,156,54080000,676,0,10,15.56,80000.0,676,4344.473007712082,4,2,1,2018
1483,172,54100000,541,0,5,74.62,100000.0,541,725.0067006164567,4,2,1,2018
